date,segment,sales
17-01-2014,Consumer,5443.96
18-08-2014,Consumer,4416.174
29-01-2013,Consumer,3219.9
18-09-2012,Consumer,2487.8088
23-11-2013,Home Office,2266.44
13-06-2012,Corporate,3068.361
28-10-2013,Consumer,3728.43
12/12/2013,Consumer,1581.48
25-05-2012,Corporate,1916.73
6/5/2013,Corporate,1685.88
2/12/2013,Home Office,2432.16
23-12-2014,Corporate,3863.88
28-01-2013,Corporate,2465.82
7/5/2012,Corporate,1847.52
27-11-2013,Consumer,2899.89
28-11-2012,Home Office,2891.7
29-09-2012,Consumer,2016.846
3/9/2013,Home Office,3155.544
26-07-2013,Consumer,3856.14
19-11-2014,Corporate,3524.472
19-06-2012,Consumer,2167.296
11/10/2012,Corporate,2556
9/8/2011,Consumer,1469.25
5/11/2011,Consumer,4448.832
7/11/2014,Home Office,2036.86
26-04-2013,Home Office,2472.66
26-12-2013,Consumer,3739.176
13-03-2013,Home Office,2570.865
17-04-2013,Corporate,9099.93
5/4/2012,Corporate,2875.77
26-12-2012,Consumer,1741.8
18-04-2013,Consumer,1601.64
24-05-2011,Consumer,3670.8
22-05-2012,Consumer,2973.32
16-05-2013,Consumer,1900.95
6/12/2011,Corporate,1261.33
16-02-2011,Corporate,4544.1
31-05-2013,Consumer,1455.12
1/10/2013,Consumer,1943.19
14-12-2011,Consumer,6999.96
18-12-2013,Consumer,9892.74
11/12/2013,Corporate,1695.87
18-03-2014,Corporate,1505.979
19-12-2014,Consumer,1954.17
20-12-2011,Home Office,2244.48
24-05-2013,Consumer,8399.976
14-10-2011,Consumer,1628.82
18-09-2014,Consumer,1213.18876
25-11-2013,Corporate,1590.6
7/11/2013,Consumer,2330.64
19-07-2014,Home Office,3278.5848
16-08-2012,Home Office,3741.5238
27-08-2013,Corporate,1603.136
11/1/2012,Consumer,3637.602
28-01-2013,Home Office,2455.88
14-06-2012,Consumer,1024.68
1/12/2011,Consumer,2807.84
25-06-2013,Consumer,4476.8
6/12/2012,Home Office,2297.96
5/9/2013,Corporate,2671.41
18-09-2014,Consumer,3834
12/9/2014,Home Office,2054.272
3/8/2012,Corporate,3501.7368
9/12/2014,Home Office,1725.462
25-10-2012,Consumer,1583.7
13-07-2012,Consumer,1931.04
27-08-2013,Home Office,2760.345
13-05-2011,Corporate,3078.72
3/11/2011,Consumer,1983.135
2/8/2014,Consumer,1112.778
20-09-2011,Consumer,3616.5
8/1/2014,Corporate,3059.982
11/3/2013,Consumer,2892.105
2/2/2012,Consumer,3263.4
9/9/2013,Consumer,2396.2656
9/4/2014,Corporate,3117.088
2/3/2013,Consumer,4899.93
19-03-2014,Home Office,1888.7
2/10/2013,Consumer,3000.78
12/1/2013,Corporate,3801.63
20-08-2014,Consumer,5211.12
17-12-2011,Corporate,1356.03
14-03-2014,Consumer,3569.643
26-03-2013,Consumer,1287.45
9/7/2014,Consumer,2910.0816
11/6/2013,Home Office,3126.4002
10/8/2011,Consumer,5276.988
17-03-2014,Consumer,2645.376
2/1/2013,Consumer,1637.01
26-11-2013,Consumer,4499.985
10/10/2012,Consumer,2645.376
23-10-2014,Home Office,2399.6
17-06-2011,Corporate,3238.305
3/4/2014,Corporate,2291.814
17-05-2011,Consumer,2124.5
11/2/2014,Home Office,2757.78
12/10/2013,Consumer,1549.98
19-09-2011,Consumer,2624.985
17-07-2014,Corporate,3146.4
22-11-2014,Corporate,2456.619
30-05-2011,Consumer,2228.6355
1/4/2014,Corporate,2999.95
17-07-2014,Corporate,4001.04
29-08-2014,Home Office,4876.875
26-12-2012,Consumer,1788.822
11/11/2014,Home Office,3622.29
1/5/2013,Consumer,1242.585
16-08-2011,Corporate,4453.05
3/12/2014,Consumer,2673.36
25-06-2013,Consumer,2046.195
21-01-2013,Consumer,5451.3
22-10-2013,Home Office,4535.976
12/7/2014,Consumer,1722.2832
26-12-2013,Corporate,2575.944
1/9/2014,Home Office,1007.424
17-11-2011,Corporate,2934.33
7/6/2011,Home Office,4624.29
13-10-2011,Corporate,1066.446
10/6/2013,Home Office,957.6
13-12-2014,Home Office,4864.32
13-10-2014,Consumer,2154.9
10/6/2014,Consumer,1433.8395
15-02-2011,Home Office,2784.6
28-11-2013,Consumer,3063.27
18-06-2014,Home Office,3404.5
20-09-2013,Home Office,1606.23
9/8/2011,Consumer,2044.8
21-06-2011,Consumer,1214.85
2/8/2012,Corporate,1521
19-06-2012,Consumer,2443.905
16-07-2012,Corporate,1348.704
2/8/2013,Corporate,1141.8
22-05-2014,Corporate,1865.97
10/2/2011,Corporate,6998.64
27-09-2013,Consumer,1091.25
2/6/2014,Home Office,1094.22
30-09-2013,Corporate,1320.624
19-07-2011,Consumer,2555.64
14-08-2014,Home Office,3498.72
26-07-2013,Consumer,1439.976
31-10-2014,Consumer,2272.86
25-07-2013,Consumer,5211.12
7/10/2014,Home Office,2582.16
17-10-2014,Home Office,3194.55
3/12/2013,Consumer,1704.996
8/11/2014,Corporate,1538.721
10/6/2013,Home Office,1381.32
21-09-2011,Home Office,1181.547
21-06-2011,Consumer,1696.248
9/5/2014,Home Office,3359.952
23-09-2014,Consumer,4663.736
26-11-2014,Home Office,1237.56
30-03-2012,Consumer,1274.7
10/11/2011,Consumer,3172.14
22-08-2014,Consumer,4305.552
1/8/2012,Corporate,3979.29
23-12-2014,Consumer,1586.69
4/7/2014,Home Office,2395.2
21-11-2014,Consumer,1259.97
23-01-2013,Consumer,2058
21-05-2011,Consumer,2539.8765
28-09-2014,Consumer,2898.21
6/11/2011,Home Office,1320.0075
28-01-2014,Corporate,2171.16
13-09-2014,Corporate,4448.223
1/12/2012,Home Office,1913.4
22-12-2011,Consumer,2300.616
5/2/2013,Home Office,2615.94
28-12-2011,Consumer,1066.68
28-05-2013,Corporate,3504.9
27-04-2011,Corporate,2544.6
6/10/2011,Corporate,3694.68
24-08-2013,Home Office,2214.849
21-09-2013,Home Office,1236.48
17-12-2014,Corporate,1805.9
19-09-2011,Corporate,3059.982
4/7/2014,Home Office,1687.8
21-05-2011,Corporate,2715.93
3/6/2014,Consumer,1810.3
12/9/2014,Consumer,2120.5
17-04-2014,Consumer,1275
21-11-2012,Consumer,1593.648
6/3/2014,Corporate,1114.236
23-07-2012,Consumer,2944.08
7/11/2014,Consumer,3309.2598
22-11-2014,Consumer,897.48
11/6/2011,Consumer,2056.05
14-09-2012,Corporate,2365.6592
25-11-2011,Consumer,1336.356
10/8/2012,Consumer,3038.64
20-03-2013,Consumer,2698.65
30-12-2013,Corporate,3799.08
4/10/2012,Consumer,2756.34
6/8/2012,Home Office,983.88
2/10/2012,Home Office,1719.807
26-03-2014,Consumer,1421.541
21-11-2014,Consumer,1053.6884
30-11-2011,Consumer,1440.84
3/11/2011,Corporate,2544.372
23-11-2012,Consumer,2625.12
6/12/2012,Consumer,1554.48
3/12/2013,Consumer,1278
20-12-2012,Corporate,3474.08
13-09-2012,Consumer,2550
4/11/2013,Consumer,1101.48
16-11-2013,Consumer,1016.792
8/4/2013,Corporate,1199.976
23-05-2012,Consumer,934.248
18-11-2014,Consumer,10499.97
14-04-2014,Corporate,3908.88
29-08-2014,Home Office,2142.3
16-05-2014,Consumer,1900.584
13-12-2012,Consumer,1840.68
31-03-2011,Consumer,2624.04
4/2/2012,Corporate,3076.5
29-05-2013,Corporate,3181.7718
29-08-2012,Consumer,1392.633
15-06-2011,Consumer,1296.24
28-08-2014,Consumer,1682.91
27-10-2011,Consumer,1278
19-03-2014,Home Office,2570.76
11/9/2014,Home Office,2332.96
28-08-2012,Home Office,1582.2
16-08-2014,Corporate,1801.632
1/8/2013,Corporate,1512
10/6/2013,Consumer,695.7
24-12-2014,Consumer,2550
15-12-2012,Consumer,2025.36
23-02-2012,Home Office,2285.7
11/10/2014,Consumer,1029.2589
21-04-2014,Corporate,1058.2792
12/6/2013,Consumer,5751.54
17-09-2013,Home Office,2442.069
19-09-2014,Home Office,1190.52
26-11-2014,Consumer,3150.819
1/9/2014,Home Office,1599.9
20-06-2014,Corporate,2063.4
23-10-2014,Home Office,1269.9
16-08-2011,Corporate,3274.02
12/9/2014,Consumer,848.32
24-08-2012,Consumer,3080
14-01-2014,Consumer,2847.36
13-11-2014,Home Office,1725.75
13-06-2013,Consumer,1479.3138
24-12-2012,Corporate,4899.93
22-09-2014,Consumer,1282.23
8/1/2011,Consumer,2478.6
3/10/2013,Corporate,17499.95
30-07-2013,Corporate,959.76
31-07-2012,Consumer,1090.782
30-04-2014,Home Office,4135.641
28-09-2011,Consumer,2325.28
24-06-2014,Consumer,5486.67
6/4/2011,Home Office,1523.664
7/8/2014,Corporate,1625.2425
19-11-2013,Corporate,1319.96
14-02-2014,Consumer,734.94
29-11-2014,Home Office,2065.32
17-08-2012,Consumer,1391.52
31-08-2012,Corporate,1552.831
7/8/2012,Consumer,2461.06
27-01-2014,Consumer,2939.93
8/9/2011,Consumer,8159.952
9/8/2012,Consumer,1226.19
21-02-2013,Consumer,1809.255
18-07-2012,Corporate,1863
19-11-2011,Consumer,4548.81
9/4/2014,Consumer,1244.187
18-06-2012,Consumer,2364.102
31-12-2013,Corporate,1946.313
30-06-2014,Consumer,895.92
16-01-2012,Corporate,2283.714
12/6/2012,Consumer,2549.76
17-03-2014,Home Office,3299.562
13-11-2012,Consumer,2489.4
27-11-2013,Consumer,3406.664
6/12/2012,Home Office,999.98
16-05-2014,Home Office,1189.242
25-12-2014,Home Office,2879.952
22-12-2014,Corporate,1269.6
14-09-2013,Home Office,3499.155
7/1/2013,Consumer,2993.025
27-06-2014,Home Office,815.949
13-07-2012,Consumer,1245
11/2/2014,Consumer,1027.728
29-05-2014,Consumer,1703.025
16-04-2014,Consumer,1803.0837
27-11-2014,Corporate,676.485
9/11/2011,Corporate,969.36
18-09-2014,Corporate,1637.01
24-02-2014,Consumer,1655.96144
3/9/2013,Corporate,976.96
23-12-2013,Corporate,731.34
17-06-2014,Consumer,1239
15-03-2014,Home Office,1680.606
12/7/2014,Consumer,2190.75
9/6/2014,Consumer,935.172
15-10-2014,Consumer,1026.96
6/8/2014,Consumer,2550
7/12/2012,Corporate,1224.714
25-12-2012,Corporate,2667.537
16-05-2013,Consumer,2605.92
17-06-2013,Consumer,2962.68
3/11/2014,Consumer,2664
28-05-2012,Consumer,1513.56
17-08-2013,Corporate,1233.63
3/6/2011,Consumer,855.15
14-07-2011,Consumer,956.34
29-09-2011,Corporate,1801.632
17-10-2011,Consumer,1838.52
14-11-2011,Home Office,4498.83
14-07-2014,Consumer,1824.144
3/6/2014,Consumer,2344
15-12-2014,Consumer,2043.72
28-06-2014,Corporate,856.8
20-12-2014,Corporate,2509.36
6/2/2012,Consumer,819.936
21-01-2011,Consumer,2797.248
3/8/2012,Consumer,1455.08
27-10-2014,Corporate,2189.0898
27-02-2012,Home Office,5451.3
11/6/2012,Corporate,1291.08
23-02-2011,Corporate,1526.52
15-09-2014,Home Office,1079.85
20-07-2013,Home Office,1869.72
29-03-2013,Consumer,1815.24
23-10-2014,Corporate,959.76
24-06-2014,Consumer,3045.84
30-10-2013,Home Office,2125
13-12-2012,Consumer,976.08
4/5/2013,Consumer,1266.36
8/5/2014,Corporate,1458.65
8/9/2011,Home Office,2134.44
22-04-2012,Corporate,4748.436
30-10-2013,Corporate,1867.5
16-04-2011,Home Office,1001.7
12/10/2012,Home Office,899.136
26-05-2014,Consumer,663.92
31-10-2014,Home Office,4306.32
12/4/2013,Home Office,899.55
11/11/2013,Home Office,763.92
13-10-2012,Consumer,2544.24
13-10-2012,Consumer,1136.664
30-01-2014,Corporate,2301
12/10/2012,Consumer,3908.88
6/12/2013,Corporate,1951.84
3/12/2014,Consumer,2479.96
19-09-2013,Consumer,2249.16
31-12-2012,Corporate,2528.26
29-12-2014,Consumer,1461.135
15-11-2013,Consumer,3045.84
12/9/2011,Consumer,3785.292
15-05-2014,Consumer,1399.93
8/9/2014,Consumer,2152.956
17-06-2013,Consumer,1244.1
8/12/2011,Corporate,2226.816
19-09-2014,Consumer,1586.412
27-11-2013,Corporate,3040
10/2/2014,Consumer,3425.4
8/2/2014,Corporate,1136.94
5/8/2013,Corporate,677.6352
15-04-2014,Home Office,731.34
21-03-2011,Corporate,3499.93
5/5/2014,Consumer,1272.72
4/11/2013,Consumer,1856.34
10/6/2014,Corporate,2295
31-08-2012,Corporate,1622.1825
20-06-2013,Consumer,1063.44
23-08-2014,Corporate,3449.88
28-05-2012,Home Office,585.456
19-05-2014,Consumer,1429.44
29-04-2013,Corporate,1057.8
23-12-2013,Corporate,1092.96
12/10/2014,Consumer,1483
15-04-2014,Home Office,1792.4
28-11-2014,Corporate,2455.677
11/5/2012,Consumer,1900.44
18-06-2013,Consumer,3712.59
4/5/2012,Home Office,2372.22
11/11/2011,Home Office,5725.35
24-12-2014,Consumer,2553.18
15-05-2014,Corporate,2003.52
9/12/2014,Consumer,1188.36
7/12/2011,Home Office,2875.095
10/9/2013,Consumer,2380.5
3/3/2011,Corporate,1619.1
2/1/2012,Corporate,2821.7178
30-10-2012,Corporate,2991.1032
19-11-2013,Consumer,1798.6764
15-08-2013,Consumer,2544.84
8/6/2013,Home Office,951.72
2/10/2014,Consumer,2575.92
27-02-2014,Consumer,1699.83
31-10-2013,Home Office,2634.552
18-12-2013,Corporate,3707.352
9/5/2014,Consumer,4298.85
4/7/2014,Corporate,3417.48
17-05-2012,Consumer,2080.32
3/8/2011,Corporate,840.6
29-07-2013,Consumer,1369.764
14-02-2013,Home Office,1288.8
23-05-2012,Home Office,660.69
4/8/2014,Corporate,3234.24
13-11-2013,Consumer,2171.3
12/2/2014,Consumer,2074.734
11/11/2014,Consumer,849.8
30-03-2013,Home Office,1177.173
24-08-2013,Home Office,2270.34
2/11/2014,Consumer,2665.62
19-08-2013,Corporate,2863.08
29-05-2014,Home Office,1253.07
22-08-2012,Home Office,3369.24
5/7/2014,Consumer,1464.12
14-03-2012,Consumer,1273.125
2/10/2014,Home Office,1704.89
16-09-2014,Corporate,1258.7774
7/8/2014,Consumer,2584.008
9/9/2013,Consumer,1482.39
8/9/2014,Consumer,1274.7
31-10-2011,Consumer,1604.9
17-10-2012,Consumer,2818.08
17-02-2014,Consumer,1046.25
24-02-2012,Consumer,3187.2
3/12/2012,Corporate,4099.68
12/12/2012,Consumer,703.35
16-06-2014,Corporate,2293.488
20-12-2012,Corporate,1238.6115
13-05-2014,Consumer,1715.056
20-12-2014,Consumer,1665.62
7/11/2014,Consumer,2841.66
10/6/2013,Corporate,3399.66
10/5/2012,Corporate,1607.76
13-09-2013,Corporate,840.15
25-07-2013,Consumer,1236.33
11/10/2014,Consumer,2488.56
22-11-2011,Home Office,1124.256
8/5/2013,Consumer,3999.95
25-10-2014,Corporate,726.72
28-08-2012,Corporate,2799.96
14-10-2013,Home Office,1519.92
14-02-2011,Corporate,1279.32
1/5/2014,Consumer,723.3
11/3/2011,Home Office,642.69
3/8/2012,Consumer,2619
20-12-2012,Consumer,1704.87
3/8/2012,Consumer,1715.91
20-06-2012,Consumer,1278
8/2/2013,Corporate,1234.56
28-09-2011,Consumer,4195.2
23-06-2012,Consumer,1765.395
20-12-2013,Consumer,1480.368
11/10/2012,Corporate,2968.98
29-08-2011,Corporate,2301.138
18-07-2014,Corporate,1100.52
6/12/2011,Corporate,2518.95
16-04-2014,Corporate,996.3
17-11-2014,Corporate,1919.976
2/9/2011,Consumer,922.95
1/8/2013,Corporate,1850.445
12/9/2014,Consumer,664.56
6/8/2014,Consumer,1547.1
20-11-2014,Home Office,2190.951
4/5/2012,Consumer,3242.88
27-08-2012,Consumer,2544.6
24-12-2013,Consumer,2605.56
29-01-2013,Consumer,1271.457
5/11/2013,Corporate,876.3
27-12-2011,Consumer,1207.56
30-11-2012,Consumer,2051.1
21-05-2013,Consumer,2544.24
31-10-2011,Corporate,1421.664
27-06-2014,Home Office,1314.45
4/11/2011,Home Office,3991.98
25-07-2013,Corporate,980.32
8/5/2011,Consumer,1799.97
27-10-2011,Consumer,2470.5
2/7/2013,Home Office,1499.95
26-12-2012,Home Office,877.02
21-12-2012,Consumer,1618.37
7/5/2012,Home Office,1917.36
8/1/2011,Home Office,2173.5
18-10-2013,Home Office,1927.59
7/7/2012,Consumer,1799.1
18-06-2011,Consumer,1814.25
10/1/2012,Consumer,1293.675
11/2/2014,Corporate,2477.55
13-08-2013,Consumer,1399.944
12/4/2012,Corporate,723.3
3/1/2014,Consumer,2097.12
12/2/2013,Consumer,1350.12
13-12-2014,Consumer,3242.88
1/7/2014,Consumer,1044.63
4/10/2014,Consumer,1793.98
7/10/2014,Corporate,597.36
20-06-2013,Corporate,3955.14
11/7/2014,Consumer,796.824
24-04-2014,Consumer,2305.26
4/5/2011,Consumer,2833.76
6/10/2011,Corporate,2077.32
12/11/2014,Consumer,1916.88
17-12-2014,Corporate,1212.5
14-11-2014,Consumer,2404.704
5/4/2013,Consumer,1622.565
19-09-2014,Home Office,856.44
22-08-2013,Corporate,2887.056
10/7/2014,Corporate,1361.043
6/10/2014,Corporate,3391.74
1/6/2013,Consumer,2375.296
20-08-2012,Corporate,889.02
30-08-2011,Consumer,1782.48
4/12/2012,Consumer,667.7685
13-10-2014,Consumer,1612.845
19-12-2013,Home Office,845.208
16-06-2012,Consumer,2799.63
20-08-2013,Home Office,1549.1286
21-06-2012,Corporate,1696.4
23-05-2012,Corporate,935.5
30-04-2013,Corporate,2036.8125
15-06-2012,Corporate,980.52
18-12-2013,Consumer,1654.644
20-11-2014,Consumer,1525.188
21-07-2014,Consumer,2063.7684
8/2/2013,Corporate,1457.28
27-10-2011,Consumer,1693.23
14-01-2014,Corporate,4164.05
26-02-2013,Consumer,1411.2
26-11-2011,Consumer,2039.796
20-08-2012,Consumer,5737.5
24-05-2012,Consumer,1641.087
4/11/2011,Home Office,1380.9
22-09-2011,Consumer,1917
17-10-2013,Consumer,823.5
20-09-2013,Home Office,872.32
5/6/2013,Consumer,3180.75
14-05-2013,Corporate,2910.1875
29-09-2011,Home Office,2348.82
16-01-2014,Consumer,1924.16
21-10-2013,Consumer,910.35
11/8/2014,Home Office,856.68
4/5/2013,Corporate,1731.072
15-07-2013,Home Office,1330.992
7/1/2011,Home Office,2573.82
2/12/2014,Corporate,1914.08
8/1/2014,Home Office,3393.12
1/12/2014,Consumer,1079.316
27-06-2014,Consumer,1446.6
12/3/2011,Consumer,3272.01
15-01-2013,Home Office,3386.859
19-11-2011,Corporate,728.532
28-08-2012,Corporate,2498.526
24-12-2014,Consumer,2575.92
16-06-2012,Consumer,2546.46
11/7/2013,Consumer,2888.76
22-05-2012,Home Office,1031.4
5/8/2014,Consumer,1237.44
12/8/2014,Consumer,1018.32
26-12-2012,Consumer,600.6
5/1/2013,Consumer,2756.943
29-12-2014,Corporate,1534.869
27-02-2013,Consumer,1781.136
16-12-2013,Home Office,6439.8
4/7/2012,Consumer,1363.2
20-08-2012,Consumer,3315.27
1/7/2013,Consumer,1266.86
3/7/2012,Corporate,2123.028
29-11-2014,Home Office,2478.84
8/4/2011,Consumer,1894.536
9/5/2013,Consumer,1006.056
5/10/2013,Home Office,5399.91
19-11-2012,Consumer,1317.9
1/9/2014,Home Office,1350.09
4/11/2013,Corporate,1839.18
5/9/2013,Consumer,2799.96
19-11-2013,Consumer,1908.18
31-12-2014,Corporate,1264.466
4/3/2013,Consumer,3930.072
2/2/2012,Consumer,965.16
19-03-2013,Consumer,748.116
21-03-2012,Consumer,943.866
24-05-2014,Corporate,1447.44
14-06-2013,Corporate,1552.5
14-10-2011,Consumer,1999.96
2/6/2014,Corporate,2405.2
17-06-2014,Consumer,1212.96
9/12/2013,Consumer,919.26
9/10/2013,Corporate,3045.84
16-10-2013,Home Office,766.872
24-12-2011,Consumer,2880.18
16-04-2013,Consumer,1403.36
9/8/2011,Consumer,1819.104
19-12-2012,Home Office,2249.91
19-10-2011,Home Office,2018.331
23-02-2011,Corporate,2065.5
10/3/2011,Consumer,1274.16
25-01-2014,Consumer,2485.62
18-06-2014,Consumer,1560.24
24-12-2011,Consumer,3271.2
8/1/2013,Consumer,751.488
4/1/2013,Consumer,2120.8
31-01-2014,Corporate,2102.832
4/11/2011,Corporate,820.488
2/5/2014,Consumer,2803.92
22-06-2011,Consumer,1718.172
24-09-2013,Corporate,553.44
30-08-2012,Corporate,2794.2525
17-06-2013,Consumer,1242.54
22-07-2014,Corporate,1626.192
18-12-2012,Consumer,1274.7
25-09-2013,Corporate,1553.76
24-03-2014,Consumer,2205.568
9/4/2014,Corporate,2690.97
3/12/2011,Corporate,3227.7
28-05-2014,Home Office,1395
14-06-2014,Consumer,2291.835
12/11/2011,Consumer,1660.8
31-05-2013,Corporate,2436.672
18-02-2014,Home Office,899.43
17-08-2011,Corporate,954.6
6/3/2012,Consumer,1903
2/11/2012,Home Office,2621.322
6/8/2014,Corporate,1590.9
18-06-2014,Consumer,1467.36
31-12-2014,Corporate,1091.2806
24-09-2012,Home Office,2014.3632
18-02-2013,Consumer,3877.68
4/11/2014,Home Office,1673.184
17-09-2012,Consumer,3083.43
24-11-2014,Corporate,2863.35
23-09-2014,Home Office,2841.66
4/11/2014,Corporate,765.459
1/9/2014,Corporate,1887.84
31-10-2011,Consumer,742.336
30-09-2011,Corporate,795.408
17-04-2014,Consumer,1801.6
8/3/2013,Corporate,779.28
25-02-2011,Consumer,613.26
3/12/2014,Consumer,979.95
16-09-2014,Home Office,1837.56
8/7/2013,Consumer,3979.29
5/6/2013,Consumer,1349.85
31-12-2013,Consumer,1198.2986
26-03-2012,Corporate,3393.68
29-01-2014,Consumer,1864.215
8/9/2011,Corporate,1142.64
17-02-2014,Corporate,1630.8
30-05-2012,Consumer,1172.664
2/1/2013,Corporate,2021.88
23-11-2012,Corporate,836.928
11/4/2014,Consumer,1302.78
3/8/2012,Consumer,2243.88
18-11-2014,Home Office,1221.561
13-12-2011,Consumer,1609.29
20-06-2014,Corporate,1596.51
3/11/2014,Corporate,975.92
21-05-2013,Home Office,2018.88
3/10/2014,Consumer,1885.32
26-12-2011,Corporate,3119.34
24-09-2014,Home Office,1964.25
27-08-2011,Corporate,1202.94
26-08-2014,Home Office,1653.804
18-11-2014,Consumer,621
1/12/2012,Consumer,2673.81
6/9/2014,Home Office,1307.97
30-09-2014,Consumer,1145.232
14-10-2014,Consumer,1504.52
26-09-2012,Home Office,1902.10816
30-12-2014,Corporate,1913.4
20-01-2014,Consumer,1854.72
15-07-2013,Consumer,2958.984
28-02-2011,Home Office,810.72
31-03-2014,Consumer,2953.584
3/6/2013,Corporate,2593.8
5/3/2013,Consumer,2051.013
20-11-2014,Corporate,2504.74
15-10-2014,Consumer,1318.65
23-05-2011,Consumer,1120.77
1/11/2011,Consumer,1983.968
29-08-2014,Consumer,3044.8
21-06-2014,Home Office,656.856
8/5/2014,Consumer,2518.95
19-08-2013,Home Office,1669.248
27-06-2013,Consumer,2476.08
31-12-2011,Home Office,1687.8
24-01-2011,Corporate,1302.78
4/12/2014,Home Office,2125.32
28-06-2013,Corporate,1954.44
24-05-2012,Consumer,856.92
8/12/2014,Corporate,3696.0315
11/12/2012,Consumer,1302.96
5/3/2014,Home Office,1136.664
2/6/2014,Consumer,1043.9304
25-06-2013,Consumer,1720.116
27-09-2011,Home Office,1253.76
5/6/2013,Home Office,2180.244
16-10-2013,Consumer,1306.467
22-12-2013,Consumer,1704.96
10/11/2014,Corporate,1633.14
21-11-2014,Consumer,775.536
10/11/2012,Corporate,2012.049
8/6/2011,Home Office,2166.8976
7/4/2014,Corporate,3271.2
18-10-2011,Home Office,755.80536
25-04-2012,Corporate,2182.68
31-08-2012,Corporate,1285.56
18-04-2012,Home Office,1479.36
20-12-2013,Consumer,740.184
4/6/2013,Corporate,1533.15
25-06-2012,Consumer,2563.92
16-08-2012,Corporate,2897.91
14-08-2014,Corporate,1582.11
9/6/2014,Home Office,1497.666
3/9/2013,Consumer,2616.96
29-05-2014,Consumer,1399.113
24-06-2013,Corporate,3421.71
21-06-2011,Consumer,1322.93
8/5/2014,Consumer,820.08
12/11/2013,Corporate,2678.94
13-02-2014,Home Office,1198.56
28-11-2014,Consumer,1832.607
24-08-2012,Consumer,1857.06
2/8/2014,Corporate,1752.6
28-11-2013,Consumer,1850.46
19-08-2011,Corporate,2337.15
13-03-2014,Corporate,788.4
4/4/2013,Corporate,715.53
5/9/2014,Consumer,1478.272
17-05-2014,Consumer,3094.56
23-04-2013,Corporate,882.0324
14-03-2014,Home Office,959.984
14-09-2012,Corporate,953.82
26-09-2014,Corporate,2871.54
5/10/2012,Home Office,2544.6
29-10-2014,Consumer,886.1412
23-11-2011,Consumer,473.847
10/12/2014,Consumer,1767.6
9/12/2011,Corporate,780.608
12/12/2013,Consumer,892.136
17-12-2013,Corporate,2711.7
14-04-2014,Consumer,2111.97
20-12-2014,Corporate,1189.2825
17-09-2013,Consumer,1908.45
19-12-2013,Corporate,1793.98
22-10-2014,Corporate,909.12
26-12-2012,Home Office,1854.9297
11/10/2013,Home Office,924.66
25-04-2012,Consumer,1760.43
23-06-2014,Corporate,827.28
